family,n_vars,stage,semantic_classes,slw_bits,semantic_rank,boundary_fraction,runtime_ms
planted3_n6_s3647,6,6,2,1,1,0.0,0.18585899988465826
random3_n8_s2811,8,0,1,0,1,1.0,0.49836900006994256
random3_n8_s2811,8,2,3,2,2,0.5,0.5153340002834739
random3_n8_s2811,8,4,3,2,2,0.125,0.6413040000552428
random3_n8_s2811,8,6,3,2,2,0.03125,0.5548539998017077
random3_n8_s2811,8,8,2,1,1,0.0,0.7376480002676544
planted3_n8_s3811,8,0,1,0,1,1.0,0.6116490003478248
planted3_n8_s3811,8,2,2,1,1,0.25,0.5387589999372722
planted3_n8_s3811,8,4,2,1,1,0.0625,0.7224249998216692
planted3_n8_s3811,8,6,2,1,1,0.03125,0.59884999973292
planted3_n8_s3811,8,8,2,1,1,0.0,0.786610999966797
random3_n8_s2829,8,0,1,0,1,1.0,0.5692750000889646
random3_n8_s2829,8,2,4,2,3,0.75,0.5454399997688597
random3_n8_s2829,8,4,6,3,4,0.3125,0.5694450001101359
random3_n8_s2829,8,6,5,3,3,0.09375,0.5615939999188413
random3_n8_s2829,8,8,2,1,1,0.0,0.6640679998781707
planted3_n8_s3829,8,0,1,0,1,1.0,0.5353440001272247
planted3_n8_s3829,8,2,2,1,1,0.25,0.5297459997564147
planted3_n8_s3829,8,4,4,2,2,0.1875,0.5191899999772431
planted3_n8_s3829,8,6,3,2,2,0.09375,0.8434769997620606
planted3_n8_s3829,8,8,2,1,1,0.0,0.7017040002210706
random3_n8_s2847,8,0,1,0,1,1.0,0.7011830002738861
random3_n8_s2847,8,2,2,1,1,0.25,0.6488140002147702
random3_n8_s2847,8,4,2,1,1,0.0625,0.5552239999815356
random3_n8_s2847,8,6,2,1,1,0.015625,0.697639000009076
random3_n8_s2847,8,8,2,1,1,0.0,0.9503170003881678
planted3_n8_s3847,8,0,1,0,1,1.0,0.6065110001145513
planted3_n8_s3847,8,2,3,2,2,0.5,0.5669120000675321
planted3_n8_s3847,8,4,4,2,3,0.1875,0.6478639998022118
planted3_n8_s3847,8,6,3,2,2,0.0625,0.6253789997572312
planted3_n8_s3847,8,8,2,1,1,0.0,0.7383089996437775
random3_n10_s3011,10,0,1,0,1,1.0,2.2247030001381063
random3_n10_s3011,10,2,2,1,1,0.25,2.145853999991232
random3_n10_s3011,10,4,3,2,2,0.125,2.235368000128801
random3_n10_s3011,10,6,4,2,3,0.046875,2.161497000088275
random3_n10_s3011,10,8,4,2,2,0.015625,2.2601650002798124
random3_n10_s3011,10,10,2,1,1,0.0,2.746696000031079
planted3_n10_s4011,10,0,1,0,1,1.0,2.0214769997437543
planted3_n10_s4011,10,2,4,2,3,0.75,2.0764390001204447
planted3_n10_s4011,10,4,6,3,5,0.4375,2.021065999997518
planted3_n10_s4011,10,6,6,3,5,0.140625,2.0950269999957527
planted3_n10_s4011,10,8,5,3,4,0.0390625,2.111172000240913
planted3_n10_s4011,10,10,2,1,1,0.0,2.5708920002216473
random3_n10_s3029,10,0,1,0,1,1.0,2.121757000168145
random3_n10_s3029,10,2,2,1,1,0.25,2.1134749999873748
random3_n10_s3029,10,4,2,1,1,0.0625,2.33507799975996
random3_n10_s3029,10,6,2,1,1,0.046875,2.153625999653741
random3_n10_s3029,10,8,2,1,1,0.01171875,2.3913220002214075
random3_n10_s3029,10,10,2,1,1,0.0,2.9035520001343684
planted3_n10_s4029,10,0,1,0,1,1.0,2.196199000081833
planted3_n10_s4029,10,2,4,2,4,1.0,2.2168699997564545
planted3_n10_s4029,10,4,6,3,4,0.375,2.198792999934085
planted3_n10_s4029,10,6,7,3,4,0.125,2.3350370001935516
planted3_n10_s4029,10,8,4,2,2,0.0390625,2.540726999995968
planted3_n10_s4029,10,10,2,1,1,0.0,2.7823199998238124
random3_n10_s3047,10,0,1,0,1,1.0,2.7404469997236447
random3_n10_s3047,10,2,2,1,1,0.25,2.3567509997519664
random3_n10_s3047,10,4,2,1,1,0.0625,2.2091190003266092
random3_n10_s3047,10,6,2,1,1,0.015625,2.301246999650175
random3_n10_s3047,10,8,2,1,1,0.00390625,2.3143059997892124
random3_n10_s3047,10,10,2,1,1,0.0,2.926547000242863
planted3_n10_s4047,10,0,1,0,1,1.0,2.1122630000718345
planted3_n10_s4047,10,2,3,2,2,0.5,2.014015999975527
planted3_n10_s4047,10,4,3,2,2,0.125,1.9496390000313113
planted3_n10_s4047,10,6,4,2,3,0.046875,1.9482769998830918
planted3_n10_s4047,10,8,4,2,2,0.01171875,2.0980009999220783
planted3_n10_s4047,10,10,2,1,1,0.0,2.525624000099924
xor_chain_inputs3,5,0,1,0,1,1.0,0.062183999943954404
xor_chain_inputs3,5,2,2,1,2,1.0,0.057776999710767996
xor_chain_inputs3,5,4,2,1,1,0.25,0.06191300008140388
xor_chain_inputs4,7,0,1,0,1,1.0,0.2425449997645046
xor_chain_inputs4,7,2,2,1,2,1.0,0.20802299968636362
xor_chain_inputs4,7,4,5,3,4,0.5,0.2212220001638343
xor_chain_inputs4,7,6,2,1,1,0.125,0.26247400001011556
xor_chain_inputs5,9,0,1,0,1,1.0,0.8180689997061563
xor_chain_inputs5,9,2,2,1,2,1.0,1.0539840000092227
xor_chain_inputs5,9,4,8,3,8,1.0,0.9357760000057169
xor_chain_inputs5,9,6,5,3,4,0.25,0.8940329998949892
xor_chain_inputs5,9,8,2,1,1,0.0625,1.000161999854754
xor_chain_inputs6,11,0,1,0,1,1.0,3.411075000258279
xor_chain_inputs6,11,2,2,1,2,1.0,3.6907839999003045
xor_chain_inputs6,11,4,8,3,8,1.0,3.5139490000801743
