family,n_vars,codomain_states,image_nonempty,exhaustive_checks,realizability_ms
random3_n8_s9008,8,1,0,256,0.5035260001022834
random3_n10_s9010,10,1,0,1024,2.0336450002105266
random3_n12_s9012,12,1,0,4096,7.609562000197911
random3_n14_s9014,14,1,0,16384,33.06628499967701
random3_n16_s9016,16,1,0,65536,127.11542399983955
random3_n18_s9018,18,1,0,262144,561.77513800003
